EventTime,EventType,Event
0,AGENT_TYPE,MomentumAgent
0,STARTING_CASH,10000000
1612483200000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
1612483234204071858,BID_DEPTH,[]
1612483234204071858,ASK_DEPTH,[]
1612483234204071858,IMBALANCE,"[0, 0]"
1612483234245039475,BID_DEPTH,[]
1612483234245039475,ASK_DEPTH,[]
1612483234245039475,IMBALANCE,"[0, 0]"
1612483234313793434,BID_DEPTH,"[(100011, 100)]"
1612483234313793434,ASK_DEPTH,[]
1612483234313793434,IMBALANCE,"[100, 0]"
1612483234369210236,BID_DEPTH,[]
1612483234369210236,ASK_DEPTH,"[(100011, 200)]"
1612483234369210236,IMBALANCE,"[0, 200]"
1612483234372803220,BID_DEPTH,[]
1612483234372803220,ASK_DEPTH,"[(100011, 200)]"
1612483234372803220,IMBALANCE,"[0, 200]"
1612483234488272082,BID_DEPTH,[]
1612483234488272082,ASK_DEPTH,[]
1612483234488272082,IMBALANCE,"[0, 0]"
1612483234615881261,BID_DEPTH,[]
1612483234615881261,ASK_DEPTH,[]
1612483234615881261,IMBALANCE,"[0, 0]"
1612483234638696075,BID_DEPTH,[]
1612483234638696075,ASK_DEPTH,[]
1612483234638696075,IMBALANCE,"[0, 0]"
1612483234776297154,BID_DEPTH,[]
1612483234776297154,ASK_DEPTH,[]
1612483234776297154,IMBALANCE,"[0, 0]"
1612483234858094701,BID_DEPTH,[]
1612483234858094701,ASK_DEPTH,[]
1612483234858094701,IMBALANCE,"[0, 0]"
1612483234908149794,BID_DEPTH,[]
1612483234908149794,ASK_DEPTH,[]
1612483234908149794,IMBALANCE,"[0, 0]"
1612483234925948270,BID_DEPTH,[]
1612483234925948270,ASK_DEPTH,[]
1612483234925948270,IMBALANCE,"[0, 0]"
1612483234949303124,BID_DEPTH,[]
1612483234949303124,ASK_DEPTH,[]
1612483234949303124,IMBALANCE,"[0, 0]"
1612483234962565278,BID_DEPTH,[]
1612483234962565278,ASK_DEPTH,[]
1612483234962565278,IMBALANCE,"[0, 0]"
1612483235094173392,BID_DEPTH,[]
1612483235094173392,ASK_DEPTH,[]
1612483235094173392,IMBALANCE,"[0, 0]"
1612483235107926954,BID_DEPTH,[]
1612483235107926954,ASK_DEPTH,[]
1612483235107926954,IMBALANCE,"[0, 0]"
1612483235115348765,BID_DEPTH,[]
1612483235115348765,ASK_DEPTH,[]
1612483235115348765,IMBALANCE,"[0, 0]"
1612483235156121702,BID_DEPTH,[]
1612483235156121702,ASK_DEPTH,[]
1612483235156121702,IMBALANCE,"[0, 0]"
1612483235211255243,BID_DEPTH,[]
1612483235211255243,ASK_DEPTH,[]
1612483235211255243,IMBALANCE,"[0, 0]"
1612483235280542894,BID_DEPTH,[]
1612483235280542894,ASK_DEPTH,[]
1612483235280542894,IMBALANCE,"[0, 0]"
1612483235294557233,BID_DEPTH,[]
1612483235294557233,ASK_DEPTH,[]
1612483235294557233,IMBALANCE,"[0, 0]"
1612483235310212427,BID_DEPTH,[]
1612483235310212427,ASK_DEPTH,[]
1612483235310212427,IMBALANCE,"[0, 0]"
1612483235397283420,BID_DEPTH,[]
1612483235397283420,ASK_DEPTH,[]
1612483235397283420,IMBALANCE,"[0, 0]"
1612483235451391186,BID_DEPTH,[]
1612483235451391186,ASK_DEPTH,[]
1612483235451391186,IMBALANCE,"[0, 0]"
1612483235461632684,BID_DEPTH,[]
1612483235461632684,ASK_DEPTH,[]
1612483235461632684,IMBALANCE,"[0, 0]"
1612483235527455335,BID_DEPTH,[]
1612483235527455335,ASK_DEPTH,[]
1612483235527455335,IMBALANCE,"[0, 0]"
1612483235557225258,BID_DEPTH,[]
1612483235557225258,ASK_DEPTH,[]
1612483235557225258,IMBALANCE,"[0, 0]"
1612483235559946439,BID_DEPTH,[]
1612483235559946439,ASK_DEPTH,[]
1612483235559946439,IMBALANCE,"[0, 0]"
1612483235564067687,BID_DEPTH,[]
1612483235564067687,ASK_DEPTH,[]
1612483235564067687,IMBALANCE,"[0, 0]"
1612483235639175941,BID_DEPTH,[]
1612483235639175941,ASK_DEPTH,[]
1612483235639175941,IMBALANCE,"[0, 0]"
1612483235740669612,BID_DEPTH,[]
1612483235740669612,ASK_DEPTH,[]
1612483235740669612,IMBALANCE,"[0, 0]"
1612483235817865390,BID_DEPTH,[]
1612483235817865390,ASK_DEPTH,[]
1612483235817865390,IMBALANCE,"[0, 0]"
1612483235860727782,BID_DEPTH,[]
1612483235860727782,ASK_DEPTH,[]
1612483235860727782,IMBALANCE,"[0, 0]"
1612483235907256016,BID_DEPTH,[]
1612483235907256016,ASK_DEPTH,[]
1612483235907256016,IMBALANCE,"[0, 0]"
1612483235919639452,BID_DEPTH,[]
1612483235919639452,ASK_DEPTH,[]
1612483235919639452,IMBALANCE,"[0, 0]"
1612483235962872146,BID_DEPTH,[]
1612483235962872146,ASK_DEPTH,[]
1612483235962872146,IMBALANCE,"[0, 0]"
1612483235973411368,BID_DEPTH,[]
1612483235973411368,ASK_DEPTH,[]
1612483235973411368,IMBALANCE,"[0, 0]"
1612483235973411368,FINAL_HOLDINGS,{ CASH: 10000000 }
1612483235973411368,FINAL_CASH_POSITION,10000000
1612483235973411368,MARKED_TO_MARKET,10000000
1612483235973411368,ENDING_CASH,10000000
